y_true,mu_pred,sigma2,sigma
0.008085219,0.0034532899,1.02501235e-05,0.0032015813
-0.012660097,0.0033968675,9.481366e-06,0.0030791827
-0.0011549914,0.0036919843,1.0125367e-05,0.0031820382
-0.014182223,0.0031837143,5.7154793e-06,0.002390707
-0.0039039818,0.0035872532,1.6208878e-05,0.004026025
-0.0007739817,0.0033891008,1.5310121e-05,0.003912815
-0.01660271,0.0038672525,1.8067367e-05,0.0042505725
-0.0011869292,0.0028316078,6.513408e-06,0.002552138
0.029325247,0.0031431392,1.6235226e-05,0.004029296
0.021118538,0.0032453232,6.2223367e-06,0.0024944611
0.0012233879,0.0028294807,9.728648e-06,0.0031190782
0.0,0.0032646572,1.0123415e-05,0.0031817316
0.0,0.003806287,1.277455e-05,0.0035741501
0.018041022,0.003577204,5.938572e-06,0.0024369184
0.00277058,0.004115685,1.4841773e-05,0.0038525022
-0.01727594,0.0042460165,1.7213762e-05,0.004148947
-0.022122698,0.0033850851,1.06812195e-05,0.0032682135
0.004083171,0.003401995,2.269679e-05,0.004764115
-0.0011129663,0.0038183022,1.1554932e-05,0.0033992545
-0.015483921,0.0037369144,9.097784e-06,0.0030162532
-0.010285216,0.003966838,1.6176444e-05,0.004021995
0.011078806,0.0038058213,1.4484427e-05,0.003805841
-0.0067704734,0.0037351507,1.1006303e-05,0.0033175747
0.03309586,0.0038170854,5.2958985e-06,0.002301282
-0.0032225507,0.003643924,7.553141e-06,0.0027482978
-0.012543276,0.0040513636,1.931133e-05,0.004394466
0.0110983,0.0029248255,1.24174085e-05,0.0035238343
0.056190908,0.0037477377,1.3613133e-05,0.0036895978
0.01317117,0.0040211184,1.5153539e-05,0.0038927547
0.010715781,0.0036584598,1.4143984e-05,0.003760849
0.003859421,0.0035548022,9.857459e-06,0.003139659
0.0046234187,0.0020165115,1.2856621e-05,0.003585613
-0.01649406,0.004069419,1.0174179e-05,0.0031896988
-0.010892393,0.0042179464,1.6262366e-05,0.004032662
0.016771564,0.0033296773,5.4505713e-06,0.002334646
0.016001424,0.0035237933,8.7162425e-06,0.0029523284
0.0026293492,0.0034647798,1.768662e-05,0.0042055463
-0.012922907,0.0034091321,6.9276593e-06,0.0026320447
0.0,0.003719017,1.3752537e-05,0.0037084413
-0.010222685,0.0033055726,1.8005521e-05,0.0042432914
0.0243227,0.0038001079,1.728632e-05,0.004157682
-0.00043401122,0.0041222004,1.4059408e-05,0.0037495878
0.023830563,0.0036236837,8.215902e-06,0.0028663394
-9.474855e-06,0.0048362766,2.0246052e-05,0.004499561
