Date,log_return,rolling_vol,kmeans_regime,regime_name,hmm_state,hmm_regime,p_sideways,p_bull,p_bear
2019-08-01,-0.0017864561821769925,0.012167074376369985,1,Sideways,0,Sideways,0.8590247483625102,0.14091624417688944,5.9007459845339174e-05
2019-08-02,-0.022035829365452973,0.013225065685726619,0,Bear,1,Bull,0.13932397214316136,0.8605842267612637,9.180109477162051e-05
2019-08-05,-0.010144670658839717,0.013251266735354195,0,Bear,0,Sideways,0.8508000142029851,0.14908208691252434,0.0001178988826836866
2019-08-06,0.009185136924826776,0.012585036569067457,1,Sideways,1,Bull,0.14857397176484768,0.8514028967165812,2.3131517936746927e-05
2019-08-07,-0.015455626428468575,0.012474836126814302,0,Bear,0,Sideways,0.84157374267171,0.15830320644065682,0.00012305088594799236
2019-08-08,0.011679872523636739,0.012619282804141766,1,Sideways,1,Bull,0.15734158154107464,0.8426340614551389,2.4357004126987296e-05
2019-08-09,0.0019786941350619634,0.01135625268163061,1,Sideways,0,Sideways,0.8335916266464897,0.1663718437648723,3.65295869012769e-05
2019-08-12,0.0,0.01135625268163061,1,Sideways,1,Bull,0.1657213041019544,0.8342693410347294,9.354863839144283e-06
2019-08-13,0.0,0.011185660083115619,1,Sideways,0,Sideways,0.8254028402322693,0.17456194559136454,3.52141768378244e-05
2019-08-14,0.0,0.010420568183612906,1,Sideways,1,Bull,0.17381109622470356,0.8261753951536221,1.3508620091809906e-05
2019-08-15,-0.028844223195699726,0.011386970484149678,0,Bear,0,Sideways,0.8170304889892932,0.18254446820094453,0.0004250428097450195
2019-08-16,-0.008782609461481622,0.011397324644103377,0,Bear,1,Bull,0.1787949890965167,0.8211429971250394,6.201377988558742e-05
2019-08-19,-0.004690611571414167,0.011357538164087156,1,Sideways,0,Sideways,0.8175353834447058,0.18243470301825365,2.991353561225151e-05
2019-08-20,0.0077944269903159995,0.010912570783026541,1,Sideways,1,Bull,0.1786766588817752,0.8213090458657812,1.4295251187017727e-05
2019-08-21,-0.005321764629575237,0.010543172905016959,1,Sideways,0,Sideways,0.8174129337280639,0.18256375992184867,2.3306349555272362e-05
2019-08-22,-0.0013398527642300357,0.010301201668172614,1,Sideways,1,Bull,0.17904923573337,0.8209385101422653,1.225412500570302e-05
2019-08-23,0.01822810809130927,0.011130486126370225,1,Sideways,0,Sideways,0.8171946664610915,0.18276236604815554,4.296748970375839e-05
2019-08-26,-0.0004911109798666139,0.010985886732383736,1,Sideways,1,Bull,0.17691634221684777,0.8230635307515691,2.0127031543924962e-05
2019-08-27,-0.011088917571718142,0.011104665464104845,0,Bear,0,Sideways,0.8210795862659757,0.17888885075196065,3.1562982884561426e-05
2019-08-28,-0.001272295428839033,0.011097018524658154,1,Sideways,1,Bull,0.17223573661324712,0.827742989593179,2.1273793437693803e-05
2019-08-29,0.008411123109950198,0.011391846113550987,1,Sideways,0,Sideways,0.8262122436785427,0.17376585914376047,2.18971774203202e-05
2019-08-30,0.0,0.010439947720228526,1,Sideways,1,Bull,0.1662580672267198,0.8337223713263199,1.956144864512478e-05
2019-09-02,0.016655697978154284,0.010979064516956398,1,Sideways,0,Sideways,0.8325867539909799,0.16738195572336678,3.129028607321749e-05
2019-09-03,0.004901322646406307,0.010827740190276155,1,Sideways,1,Bull,0.15648816611621805,0.8434839668813402,2.7867003438982415e-05
